   PID Name                        CPU%  Memory%
   719 card1-crtc2                  0.0      0.0
   720 card1-crtc3                  0.0      0.0
   734 ModemManager                 0.0      0.3
   762 cupsd                        0.0      0.2
   764 vncserver                    0.0      0.7
   771 containerd                   0.0      1.0
   773 lightdm                      0.0      0.2
   778 xrdp-sesman                  0.0      0.0
   793 sshd                         0.0      0.2
   807 xrdp                         0.0      0.0
   811 dbus                         0.0      0.1
   812 dbus                         0.0      0.1
   813 dbus                         0.0      0.1
   814 dbus                         0.0      0.2
   815 dbus                         0.0      0.1
   816 dbus                         0.0      0.2
   817 dbus                         0.0      0.2
   826 Xorg                         0.0      2.2
   827 login                        0.0      0.1
   828 agetty                       0.0      0.0
   830 systemd                      0.0      0.3
   833 (sd-pam)                     0.0      0.1
   851 pipewire                     0.0      0.3
   852 pipewire                     0.0      0.1
   853 wireplumber                  0.0      1.0
   854 pipewire-pulse               0.0      0.2
   859 dbus-daemon                  0.0      0.1
   865 rtkit-daemon                 0.0      0.1
   949 krfcommd                     0.0      0.0
  1001 lightdm                      0.0      0.2
  1005 lxsession                    0.0      0.3
  1060 ssh-agent                    0.0      0.0
  1069 gvfsd                        0.0      0.2
  1074 gvfsd-fuse                   0.0      0.1
  1088 openbox                      0.0      0.5
  1090 lxpolkit                     0.0      0.3
  1092 lxpanel                      0.0      2.6
  1093 pcmanfm                      0.0      2.4
  1105 ssh-agent                    0.0      0.0
  1114 systemd-inhibit              0.0      0.1
  1121 xiccd                        0.0      0.2
  1127 xcompmgr                     0.0      0.1
  1135 xfce4-power-manager          0.0      1.6
  1136 gtk-nop                      0.0      1.6
  1138 light-locker                 0.0      1.8
  1144 colord                       0.0      0.3
  1167 dconf-service                0.0      0.1
  1219 Xvnc                         0.0      3.8
  1222 xfce4-notifyd                0.0      0.4
  1228 gvfs-udisks2-volume-monit    0.0      0.3
  1242 sh                           0.0      0.0
  1244 xfce4-session                0.0      1.8
  1245 xfce4-session                0.0      1.9
  1248 upowerd                      0.0      0.2
  1252 dbus-launch                  0.0      0.1
  1254 dbus-launch                  0.0      0.1
  1255 dbus-daemon                  0.0      0.1
  1256 dbus-daemon                  0.0      0.1
  1257 gvfs-afc-volume-monitor      0.0      0.2
  1266 gvfs-goa-volume-monitor      0.0      0.1
  1278 gvfs-mtp-volume-monitor      0.0      0.1
  1289 gvfs-gphoto2-volume-monit    0.0      0.1
  1301 gvfsd-trash                  0.0      0.2
  1307 kworker/u16:2-v3d_render     0.0      0.0
  1325 xfconfd                      0.0      0.1
